areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E10000003,Cambridgeshire,utla,2022-01-21,unassigned,0,2,
E10000003,Cambridgeshire,utla,2022-01-20,00_04,63,456,1262.9
E10000003,Cambridgeshire,utla,2022-01-20,00_59,1139,7443,1510.3
E10000003,Cambridgeshire,utla,2022-01-20,05_09,212,1553,3828.4
E10000003,Cambridgeshire,utla,2022-01-20,10_14,180,1081,2751.5
E10000003,Cambridgeshire,utla,2022-01-20,15_19,52,410,1105.7
E10000003,Cambridgeshire,utla,2022-01-20,20_24,57,386,886.3
E10000003,Cambridgeshire,utla,2022-01-20,25_29,66,460,1150.4
E10000003,Cambridgeshire,utla,2022-01-20,30_34,101,616,1554.2
E10000003,Cambridgeshire,utla,2022-01-20,35_39,125,740,1818.1
E10000003,Cambridgeshire,utla,2022-01-20,40_44,115,701,1699.4
E10000003,Cambridgeshire,utla,2022-01-20,45_49,92,482,1092.6
E10000003,Cambridgeshire,utla,2022-01-20,50_54,42,314,679.1
E10000003,Cambridgeshire,utla,2022-01-20,55_59,34,244,550.9
E10000003,Cambridgeshire,utla,2022-01-20,60+,89,617,375.3
E10000003,Cambridgeshire,utla,2022-01-20,60_64,20,163,439.7
E10000003,Cambridgeshire,utla,2022-01-20,65_69,21,119,355.6
E10000003,Cambridgeshire,utla,2022-01-20,70_74,15,89,257.7
E10000003,Cambridgeshire,utla,2022-01-20,75_79,9,72,294.1
E10000003,Cambridgeshire,utla,2022-01-20,80_84,12,62,360.4
E10000003,Cambridgeshire,utla,2022-01-20,85_89,5,46,426.4
E10000003,Cambridgeshire,utla,2022-01-20,90+,7,66,963.9
E10000003,Cambridgeshire,utla,2022-01-20,unassigned,0,3,
E10000003,Cambridgeshire,utla,2022-01-19,00_04,65,463,1282.3
E10000003,Cambridgeshire,utla,2022-01-19,00_59,1271,7168,1454.5
E10000003,Cambridgeshire,utla,2022-01-19,05_09,210,1470,3623.8
E10000003,Cambridgeshire,utla,2022-01-19,10_14,173,991,2522.4
E10000003,Cambridgeshire,utla,2022-01-19,15_19,65,413,1113.8
E10000003,Cambridgeshire,utla,2022-01-19,20_24,65,392,900.1
E10000003,Cambridgeshire,utla,2022-01-19,25_29,88,468,1170.4
E10000003,Cambridgeshire,utla,2022-01-19,30_34,107,605,1526.5
E10000003,Cambridgeshire,utla,2022-01-19,35_39,151,702,1724.8
E10000003,Cambridgeshire,utla,2022-01-19,40_44,141,657,1592.7
E10000003,Cambridgeshire,utla,2022-01-19,45_49,109,434,983.8
E10000003,Cambridgeshire,utla,2022-01-19,50_54,53,325,702.8
E10000003,Cambridgeshire,utla,2022-01-19,55_59,44,248,559.9
E10000003,Cambridgeshire,utla,2022-01-19,60+,97,608,369.8
E10000003,Cambridgeshire,utla,2022-01-19,60_64,29,170,458.6
E10000003,Cambridgeshire,utla,2022-01-19,65_69,20,121,361.6
E10000003,Cambridgeshire,utla,2022-01-19,70_74,15,79,228.7
E10000003,Cambridgeshire,utla,2022-01-19,75_79,12,68,277.7
E10000003,Cambridgeshire,utla,2022-01-19,80_84,10,57,331.4
E10000003,Cambridgeshire,utla,2022-01-19,85_89,4,46,426.4
E10000003,Cambridgeshire,utla,2022-01-19,90+,7,67,978.5
E10000003,Cambridgeshire,utla,2022-01-19,unassigned,0,3,
E10000003,Cambridgeshire,utla,2022-01-18,00_04,65,440,1218.6
E10000003,Cambridgeshire,utla,2022-01-18,00_59,1199,6680,1355.5
E10000003,Cambridgeshire,utla,2022-01-18,05_09,268,1348,3323.1
E10000003,Cambridgeshire,utla,2022-01-18,10_14,173,903,2298.4
E10000003,Cambridgeshire,utla,2022-01-18,15_19,51,417,1124.6
E10000003,Cambridgeshire,utla,2022-01-18,20_24,61,377,865.6
E10000003,Cambridgeshire,utla,2022-01-18,25_29,70,446,1115.4
E10000003,Cambridgeshire,utla,2022-01-18,30_34,97,592,1493.7
E10000003,Cambridgeshire,utla,2022-01-18,35_39,126,628,1543.0
E10000003,Cambridgeshire,utla,2022-01-18,40_44,121,581,1408.5
E10000003,Cambridgeshire,utla,2022-01-18,45_49,72,389,881.8
E10000003,Cambridgeshire,utla,2022-01-18,50_54,58,312,674.7
E10000003,Cambridgeshire,utla,2022-01-18,55_59,37,247,557.7
E10000003,Cambridgeshire,utla,2022-01-18,60+,88,597,363.1
E10000003,Cambridgeshire,utla,2022-01-18,60_64,27,164,442.4
E10000003,Cambridgeshire,utla,2022-01-18,65_69,23,118,352.7
E10000003,Cambridgeshire,utla,2022-01-18,70_74,9,79,228.7
E10000003,Cambridgeshire,utla,2022-01-18,75_79,9,66,269.6
E10000003,Cambridgeshire,utla,2022-01-18,80_84,5,57,331.4
E10000003,Cambridgeshire,utla,2022-01-18,85_89,8,46,426.4
E10000003,Cambridgeshire,utla,2022-01-18,90+,7,67,978.5
E10000003,Cambridgeshire,utla,2022-01-18,unassigned,0,3,
E10000003,Cambridgeshire,utla,2022-01-17,00_04,74,414,1146.6
E10000003,Cambridgeshire,utla,2022-01-17,00_59,1310,6339,1286.3
E10000003,Cambridgeshire,utla,2022-01-17,05_09,311,1173,2891.7
E10000003,Cambridgeshire,utla,2022-01-17,10_14,198,803,2043.9
E10000003,Cambridgeshire,utla,2022-01-17,15_19,92,430,1159.6
E10000003,Cambridgeshire,utla,2022-01-17,20_24,63,389,893.2
E10000003,Cambridgeshire,utla,2022-01-17,25_29,68,452,1130.4
E10000003,Cambridgeshire,utla,2022-01-17,30_34,98,586,1478.5
E10000003,Cambridgeshire,utla,2022-01-17,35_39,116,599,1471.7
E10000003,Cambridgeshire,utla,2022-01-17,40_44,110,537,1301.8
E10000003,Cambridgeshire,utla,2022-01-17,45_49,81,380,861.4
E10000003,Cambridgeshire,utla,2022-01-17,50_54,58,311,672.6
